Month,ProductSales
8/24/2017,4334.68
8/25/2017,4371.6
8/26/2017,4352.4
8/27/2017,4382.88
8/28/2017,4382.66
8/29/2017,4579.02
8/30/2017,4565.3
8/31/2017,4703.39
9/1/2017,4892.01
9/2/2017,4578.77
9/3/2017,4582.96
9/4/2017,4236.31
9/5/2017,4376.53
9/6/2017,4597.12
9/7/2017,4613.5
9/8/2017,4305.8
9/9/2017,4317.9
9/10/2017,4232.1
9/11/2017,4203.00
9/12/2017,4142.9
9/13/2017,3849.7
9/14/2017,3238.1
9/15/2017,3698.00
9/16/2017,3685.4
9/17/2017,3666.3
9/18/2017,4084.1
9/19/2017,3900.00
9/20/2017,3873.2
9/21/2017,3603.4
9/22/2017,3598.5
9/23/2017,3779.6
9/24/2017,3652.8
9/25/2017,3930.00
9/26/2017,3879.1
9/27/2017,4205.4
9/28/2017,4190.00
9/29/2017,4169.9
9/30/2017,4367.00
10/1/2017,4403.74
10/2/2017,4409.32
10/3/2017,4317.48
10/4/2017,4229.36
10/5/2017,4328.41
10/6/2017,4370.81
10/7/2017,4426.89
10/8/2017,4610.48
10/9/2017,4772.02
10/10/2017,4781.99
10/11/2017,4826.48
10/12/2017,5446.91
10/13/2017,5647.21
10/14/2017,5831.79
10/15/2017,5678.19
10/16/2017,5725.59
10/17/2017,5605.51
10/18/2017,5590.69
10/19/2017,5708.52
10/20/2017,6011.45
10/21/2017,6031.6
10/22/2017,6008.42
10/23/2017,5930.32
10/24/2017,5526.64
10/25/2017,5750.8
10/26/2017,5904.83
10/27/2017,5780.9
10/28/2017,5753.09
10/29/2017,6153.85
10/30/2017,6130.53
10/31/2017,6468.4
11/1/2017,6767.31
11/2/2017,7078.5
11/3/2017,7207.76
11/4/2017,7379.95
11/5/2017,7407.41
11/6/2017,7022.76
11/7/2017,7144.38
11/8/2017,7459.69
11/9/2017,7143.58
11/10/2017,6618.14
11/11/2017,6357.6
11/12/2017,5950.07
11/13/2017,6559.49
11/14/2017,6635.75
11/15/2017,7315.54
11/16/2017,7871.69
11/17/2017,7708.99
11/18/2017,7790.15
11/19/2017,8036.49
11/20/2017,8200.64
11/21/2017,8071.26
11/22/2017,8253.55
11/23/2017,8038.77
11/24/2017,8253.69
11/25/2017,8790.92
11/26/2017,9330.55
11/27/2017,9818.35
11/28/2017,10058.8
11/29/2017,9888.61
11/30/2017,10233.6
12/1/2017,10975.6
12/2/2017,11074.6
12/3/2017,11323.2
12/4/2017,11657.2
12/5/2017,11916.7
12/6/2017,14291.5
12/7/2017,17899.7
12/8/2017,16569.4
12/9/2017,15178.2
12/10/2017,15455.4
12/11/2017,16936.8
12/12/2017,17415.4
12/13/2017,16408.2
12/14/2017,16564.00
12/15/2017,17706.9
12/16/2017,19497.4
12/17/2017,19140.8
12/18/2017,19114.2
12/19/2017,17776.7
12/20/2017,16624.6
12/21/2017,15802.9
12/22/2017,13831.8
12/23/2017,14699.2
12/24/2017,13925.8
12/25/2017,14026.6
12/26/2017,16099.8
12/27/2017,15838.5
12/28/2017,14606.5
12/29/2017,14656.2
12/30/2017,12952.2
12/31/2017,14156.4
1/1/2018,13657.2
1/2/2018,14982.1
1/3/2018,15201.00
1/4/2018,15599.2
1/5/2018,17429.5
1/6/2018,17527.00
1/7/2018,16477.6
1/8/2018,15170.1
1/9/2018,14595.4
1/10/2018,14973.3
1/11/2018,13405.8
1/12/2018,13980.6
1/13/2018,14360.2
1/14/2018,13772.00
1/15/2018,13819.8
1/16/2018,11490.5
1/17/2018,11188.6
1/18/2018,11474.9
1/19/2018,11607.4
1/20/2018,12899.2
1/21/2018,11600.1
1/22/2018,10931.4
1/23/2018,10868.4
1/24/2018,11359.4
1/25/2018,11259.4
1/26/2018,11171.4
1/27/2018,11440.7
1/28/2018,11786.3
1/29/2018,11296.4
1/30/2018,10106.3
1/31/2018,10221.1
2/1/2018,9170.54
2/2/2018,8830.75
2/3/2018,9174.91
2/4/2018,8277.01
2/5/2018,6955.27
2/6/2018,7754.00
2/7/2018,7621.3
2/8/2018,8265.59
2/9/2018,8736.98
2/10/2018,8621.9
2/11/2018,8129.97
2/12/2018,8926.57
2/13/2018,8598.31
2/14/2018,9494.63
2/15/2018,10166.4
2/16/2018,10233.9
2/17/2018,11112.7
2/18/2018,10551.8
2/19/2018,11225.3
2/20/2018,11403.7
2/21/2018,10690.4
2/22/2018,10005.00
2/23/2018,10301.1
2/24/2018,9813.07
2/25/2018,9664.73
2/26/2018,10366.7
2/27/2018,10725.6
2/28/2018,10397.9
3/1/2018,10951.00
3/2/2018,11086.4
3/3/2018,11489.7
3/4/2018,11512.6
3/5/2018,11573.3
3/6/2018,10779.9
3/7/2018,9965.57
3/8/2018,9395.01
3/9/2018,9337.55
3/10/2018,8866.00
3/11/2018,9578.63
3/12/2018,9205.12
3/13/2018,9194.85
3/14/2018,8269.81
3/15/2018,8300.86
3/16/2018,8338.35
3/17/2018,7916.88
3/18/2018,8223.68
3/19/2018,8630.65
3/20/2018,8913.47
3/21/2018,8929.28
3/22/2018,8728.47
3/23/2018,8879.62
3/24/2018,8668.12
3/25/2018,8495.78
3/26/2018,8209.4
3/27/2018,7833.04
3/28/2018,7954.48
3/29/2018,7165.7
3/30/2018,6890.52
3/31/2018,6973.53
4/1/2018,6844.23
4/2/2018,7083.8
4/3/2018,7456.11
4/4/2018,6853.84
4/5/2018,6811.47
4/6/2018,6636.32
4/7/2018,6911.09
4/8/2018,7023.52
4/9/2018,6770.73
4/10/2018,6834.76
4/11/2018,6968.32
4/12/2018,7889.25
4/13/2018,7895.96
4/14/2018,7986.24
4/15/2018,8329.11
4/16/2018,8058.67
4/17/2018,7902.09
4/18/2018,8163.42
4/19/2018,8294.31
4/20/2018,8845.83
4/21/2018,8895.58
4/22/2018,8802.46
4/23/2018,8930.88
4/24/2018,9697.5
4/25/2018,8845.74
4/26/2018,9281.51
4/27/2018,8987.05
4/28/2018,9348.48
4/29/2018,9419.08
4/30/2018,9240.55
5/1/2018,9119.01
5/2/2018,9235.92
5/3/2018,9743.86
5/4/2018,9700.76
